"payslipId","employeeNumber","employeeName","position","periodStart",  "periodEnd","totalHours","hourlyRate","grossPay", "riceSubsidy","phoneAllowance","clothingAllowance","sss","philhealth","pagibig","tax","netPay"
"10001-2024-06-C1","10001","Manuel III Garcia","chief executive officer","2024-06-01","2024-06-15","99.11","535.71","53094.22","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","55344.22"
"10001-2024-06-C2","10001","Manuel III Garcia","chief executive officer","2024-06-16","2024-06-30","91.31","535.71","48915.68","750.0","1000.0","500.0","1125.0","900.0","2040.2","20216.31","26884.17"
"10002-2024-06-C1","10002","Antonio Lim","chief operating officer","2024-06-01","2024-06-15","98.38","357.14","35135.43","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","37385.43"
"10002-2024-06-C2","10002","Antonio Lim","chief operating officer","2024-06-16","2024-06-30","92.75","357.14","33124.74","750.0","1000.0","500.0","1125.0","900.0","1365.2","10384.24","21600.3"
"10003-2024-06-C1","10003","Bianca Sofia Aquino","chief finance officer","2024-06-01","2024-06-15","89.17","357.14","31846.17","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","34096.17"
"10003-2024-06-C2","10003","Bianca Sofia Aquino","chief finance officer","2024-06-16","2024-06-30","86.62","357.14","30935.47","750.0","1000.0","500.0","1125.0","900.0","1255.63","9042.0","20862.84"
"10004-2024-06-C1","10004","Isabella Reyes","chief marketing officer","2024-06-01","2024-06-15","86.74","357.14","30978.32","750.0","1000.0","500.0","0.0","0.0","0.0","0.0","33228.32"
"10004-2024-06-C2","10004","Isabella Reyes","chief marketing officer","2024-06-16","2024-06-30","87.55","357.14","31267.61","750.0","1000.0","500.0","1125.0","900.0","1244.92","8910.75","21336.940000000002"
"10005-2024-06-C1","10005","Eduard Hernandez","it operations and systems","2024-06-01","2024-06-15","84.76","313.51","26573.11","750.0","500.0","500.0","0.0","0.0","0.0","0.0","28323.11"
"10005-2024-06-C2","10005","Eduard Hernandez","it operations and systems","2024-06-16","2024-06-30","88.27","313.51","27673.53","750.0","500.0","500.0","1125.0","813.7","1084.93","6972.5","19427.399999999998"
"10006-2024-06-C1","10006","Andrea Mae Villanueva","hr manager","2024-06-01","2024-06-15","89.54","313.51","28071.69","750.0","500.0","500.0","0.0","0.0","0.0","0.0","29821.69"
"10006-2024-06-C2","10006","Andrea Mae Villanueva","hr manager","2024-06-16","2024-06-30","92.63","313.51","29040.43","750.0","500.0","500.0","1125.0","856.68","1142.24","7663.8","20002.71"
"10007-2024-06-C1","10007","Brad  San Jose","hr team leader","2024-06-01","2024-06-15","80.2","255.8","20515.16","750.0","400.0","400.0","0.0","0.0","0.0","0.0","22065.16"
"10007-2024-06-C2","10007","Brad  San Jose","hr team leader","2024-06-16","2024-06-30","89.92","255.8","23001.54","750.0","400.0","400.0","1125.0","652.75","870.33","4383.9","17519.56"
"10008-2024-06-C1","10008","Alice Romualdez","hr rank and file","2024-06-01","2024-06-15","89.22","133.93","11949.23","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13199.23"
"10008-2024-06-C2","10008","Alice Romualdez","hr rank and file","2024-06-16","2024-06-30","85.62","133.93","11467.09","750.0","250.0","250.0","1057.5","351.24","468.33","141.25","10698.77"
"10009-2024-06-C1","10009","Rosie  Atienza","hr rank and file","2024-06-01","2024-06-15","90.71","133.93","12148.79","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13398.79"
"10009-2024-06-C2","10009","Rosie  Atienza","hr rank and file","2024-06-16","2024-06-30","90.81","133.93","12162.18","750.0","250.0","250.0","1102.5","364.66","486.22","304.92","11153.880000000001"
"10010-2024-06-C1","10010","Roderick Alvaro","accounting head","2024-06-01","2024-06-15","90.25","313.51","28294.28","750.0","500.0","500.0","0.0","0.0","0.0","0.0","30044.28"
"10010-2024-06-C2","10010","Roderick Alvaro","accounting head","2024-06-16","2024-06-30","80.02","313.51","25087.07","750.0","500.0","500.0","1125.0","800.72","1067.63","6763.75","17079.97"
"10011-2024-06-C1","10011","Anthony Salcedo","payroll manager","2024-06-01","2024-06-15","91.83","302.53","27781.33","750.0","500.0","500.0","0.0","0.0","0.0","0.0","29531.33"
"10011-2024-06-C2","10011","Anthony Salcedo","payroll manager","2024-06-16","2024-06-30","89.64","302.53","27118.79","750.0","500.0","500.0","1125.0","823.5","1098.0","7130.15","18692.14"
"10012-2024-06-C1","10012","Josie  Lopez","payroll team leader","2024-06-01","2024-06-15","84.66","229.02","19388.83","750.0","400.0","400.0","0.0","0.0","0.0","0.0","20938.83"
"10012-2024-06-C2","10012","Josie  Lopez","payroll team leader","2024-06-16","2024-06-30","90.02","229.02","20616.38","750.0","400.0","400.0","1125.0","600.08","800.1","3536.76","16104.44"
"10013-2024-06-C1","10013","Martha Farala","payroll rank and file","2024-06-01","2024-06-15","89.87","142.86","12838.83","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14088.83"
"10013-2024-06-C2","10013","Martha Farala","payroll rank and file","2024-06-16","2024-06-30","96.32","142.86","13760.28","750.0","250.0","250.0","1125.0","398.99","531.98","742.03","12212.28"
"10014-2024-06-C1","10014","Leila Martinez","payroll rank and file","2024-06-01","2024-06-15","95.21","142.86","13601.7","750.0","250.0","250.0","0.0","0.0","0.0","0.0","14851.7"
"10014-2024-06-C2","10014","Leila Martinez","payroll rank and file","2024-06-16","2024-06-30","89.09","142.86","12727.4","750.0","250.0","250.0","1125.0","394.94","526.58","689.92","11240.96"
"10015-2024-06-C1","10015","Fredrick  Romualdez","account manager","2024-06-01","2024-06-15","93.58","318.45","29800.55","750.0","500.0","500.0","0.0","0.0","0.0","0.0","31550.55"
"10015-2024-06-C2","10015","Fredrick  Romualdez","account manager","2024-06-16","2024-06-30","94.69","318.45","30154.03","750.0","500.0","500.0","1125.0","899.32","1199.09","8349.54","20331.079999999998"
"10016-2024-06-C1","10016","Christian Mata","account team leader","2024-06-01","2024-06-15","87.13","255.8","22287.85","750.0","400.0","400.0","0.0","0.0","0.0","0.0","23837.85"
"10016-2024-06-C2","10016","Christian Mata","account team leader","2024-06-16","2024-06-30","95.24","255.8","24362.39","750.0","400.0","400.0","1125.0","699.75","933.01","5139.87","18014.76"
"10017-2024-06-C1","10017","Selena  De Leon","account team leader","2024-06-01","2024-06-15","86.67","249.11","21590.36","750.0","400.0","400.0","0.0","0.0","0.0","0.0","23140.36"
"10017-2024-06-C2","10017","Selena  De Leon","account team leader","2024-06-16","2024-06-30","89.73","249.11","22352.64","750.0","400.0","400.0","1125.0","659.15","878.86","4486.75","16752.879999999997"
"10018-2024-06-C1","10018","Allison  San Jose","account rank and file","2024-06-01","2024-06-15","87.92","133.93","11775.13","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13025.13"
"10018-2024-06-C2","10018","Allison  San Jose","account rank and file","2024-06-16","2024-06-30","96.03","133.93","12861.3","750.0","250.0","250.0","1102.5","369.55","492.73","367.73","11778.789999999999"
"10019-2024-06-C1","10019","Cydney  Rosario","account rank and file","2024-06-01","2024-06-15","91.66","133.93","12276.02","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13526.02"
"10019-2024-06-C2","10019","Cydney  Rosario","account rank and file","2024-06-16","2024-06-30","83.94","133.93","11242.08","750.0","250.0","250.0","1057.5","352.77","470.36","160.9","10450.55"
"10020-2024-06-C1","10020","Mark  Bautista","account rank and file","2024-06-01","2024-06-15","86.41","138.39","11958.28","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13208.28"
"10020-2024-06-C2","10020","Mark  Bautista","account rank and file","2024-06-16","2024-06-30","91.22","138.39","12623.94","750.0","250.0","250.0","1102.5","368.73","491.64","357.27","11553.800000000001"
"10021-2024-06-C1","10021","Darlene  Lazaro","account rank and file","2024-06-01","2024-06-15","89.54","138.39","12391.44","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13641.44"
"10021-2024-06-C2","10021","Darlene  Lazaro","account rank and file","2024-06-16","2024-06-30","92.33","138.39","12777.55","750.0","250.0","250.0","1125.0","377.53","503.38","466.02","11555.619999999999"
"10022-2024-06-C1","10022","Kolby  Delos Santos","account rank and file","2024-06-01","2024-06-15","88.04","142.86","12577.39","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13827.39"
"10022-2024-06-C2","10022","Kolby  Delos Santos","account rank and file","2024-06-16","2024-06-30","90.23","142.86","12890.26","750.0","250.0","250.0","1125.0","382.01","509.35","523.66","11600.24"
"10023-2024-06-C1","10023","Vella  Santos","account rank and file","2024-06-01","2024-06-15","92.71","133.93","12416.65","750.0","250.0","250.0","0.0","0.0","0.0","0.0","13666.65"
"10023-2024-06-C2","10023","Vella  Santos","account rank and file","2024-06-16","2024-06-30","84.91","133.93","11372.0","750.0","250.0","250.0","1080.0","356.83","475.77","208.61","10500.79"
"10024-2024-06-C1","10024","Tomas Del Rosario","account rank and file","2024-06-01","2024-06-15","87.44","133.93","11710.84","750.0","250.0","250.0","0.0","0.0","0.0","0.0","12960.84"
"10024-2024-06-C2","10024","Tomas Del Rosario","account rank and file","2024-06-16","2024-06-30","93.07","133.93","12464.87","750.0","250.0","250.0","1080.0","362.64","483.51","283.31","11505.41"
