"userId","Employee #","username","passwordHash","role","active"
"1","10001","Garcia","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","admin","true"
"2","10002","Lim","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","admin","true"
"3","10003","Aquino","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"4","10004","Reyes","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","employee","true"
"5","10005","Hernandez","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","it","true"
"6","10006","Villanueva","d184qxCUuCYxMvG2b0bDrw==:+DVlZHedz1E4Ozy+U1fhu8KN7QFKPUjB0NQxNMSao2k=","hr","true"
"7","10007","San Jose","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","hr","true"
"8","10008","Romualdez","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","hr","true"
"9","10009","Atienza","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","hr","true"
"10","10010","Alvaro","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"11","10011","Salcedo","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"12","10012","Lopez","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"13","10013","Farala","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"14","10014","Martinez","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"15","10015","Romualdez","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"16","10016","Mata","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"17","10017","De Leon","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"18","10018","San Jose","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"19","10019","Rosario","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"20","10020","Bautista","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"21","10021","Lazaro","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"22","10022","Delos Santos","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"23","10023","Santos","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"24","10024","Del Rosario","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"25","10025","Tolentino","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"26","10026","Gutierrez","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"27","10027","Manalaysay","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"28","10028","Villegas","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"29","10029","Ramos","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"30","10030","Maceda","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"31","10031","Aguilar","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","finance","true"
"32","10032","Castro","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","employee","true"
"33","10033","Martinez","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","employee","true"
"34","10034","Santos","XHFZSnSQPRlm7I06PRXfyA==:xxnt4HxfqaNlj9y05aH4WwHdxCTl5QmpWwpLXi4qBsM=","employee","true"
"35","10035","nani","4TvuQvUHWVoVY9DA+xRJXA==:mZcZ3fRNMKHjKNo49+AefmAM1gjp+sHyCh67ecjNDGA=","employee","true"
